,AC Type,Capacity,Mass (kg),CO2_construction (kg)
0,A20N,194,60000,2400000
1,A306,298,150000,6000000
2,A319,142,60000,2400000
3,A320,180,60000,2400000
4,A321,220,60000,2400000
5,A332,293,200000,8000000
6,A333,335,180000,7200000
7,A343,335,260000,10400000
8,A346,419,300000,12000000
9,A388,853,400000,16000000
10,AT43,50,10000,400000
11,AT72,72,20000,800000
12,B38M,178,60000,2400000
13,B462,100,30000,1200000
14,B733,149,60000,2400000
15,B734,168,60000,2400000
16,B736,132,70000,2800000
17,B737,149,60000,2400000
18,B738,167,60000,2400000
19,B744,524,380000,15200000
20,B748,467,380000,15200000
21,B752,228,100000,4000000
22,B753,280,100000,4000000
23,B762,255,170000,6800000
24,B763,351,60000,2400000
25,B772,440,300000,12000000
26,B77L,440,300000,12000000
27,B788,250,200000,8000000
28,BE20,13,5000,200000
29,BE40,8,6000,240000
30,C208,14,3000,120000
31,C25A,9,4000,160000
32,C310,5,2000,80000
33,C680,12,10000,400000
34,CRJ2,50,20000,800000
35,CRJ7,70,25000,1000000
36,CRJ9,90,30000,1200000
37,CRJX,104,20000,800000
38,D228,19,5000,200000
39,D328,39,10000,400000
40,DH8D,78,25000,1000000
41,E120,30,10000,400000
42,E170,80,40000,1600000
43,E190,114,40000,1600000
44,E195,124,50000,2000000
45,E55P,9,9000,360000
46,F406,8,4000,160000
47,GLF5,19,30000,1200000
48,J328,32,10000,400000
49,JS32,19,5000,200000
50,PC12,9,4000,160000
51,SF34,34,10000,400000
